,number_of_repetitions,indices
0,69,.
1,161,.
2,192,.
3,209,.
4,231,.
5,258,.
the,66,"[0, 6, 12, 46, 62, 83, 97, 107, 136, 156, 162, 229, 235, 241, 275, 291, 312, 326, 336, 365, 385, 391, 458, 464, 470, 504, 520, 541, 555, 565, 594, 614, 620, 687, 693, 699, 733, 749, 770, 784, 794, 823, 843, 849, 916, 922, 928, 962, 978, 999, 1013, 1023, 1052, 1072, 1078, 1145, 1151, 1157, 1191, 1207, 1228, 1242, 1252, 1281, 1301, 1307]"
story,12,"[1, 174, 230, 403, 459, 632, 688, 861, 917, 1090, 1146, 1319]"
have,54,"[2, 50, 57, 79, 131, 140, 161, 193, 203, 231, 279, 286, 308, 360, 369, 390, 422, 432, 460, 508, 515, 537, 589, 598, 619, 651, 661, 689, 737, 744, 766, 818, 827, 848, 880, 890, 918, 966, 973, 995, 1047, 1056, 1077, 1109, 1119, 1147, 1195, 1202, 1224, 1276, 1285, 1306, 1338, 1348]"
hold,6,"[3, 232, 461, 690, 919, 1148]"
we,30,"[4, 81, 200, 206, 219, 233, 310, 429, 435, 448, 462, 539, 658, 664, 677, 691, 768, 887, 893, 906, 920, 997, 1116, 1122, 1135, 1149, 1226, 1345, 1351, 1364]"
round,6,"[5, 234, 463, 692, 921, 1150]"
fire,6,"[7, 236, 465, 694, 923, 1152]"
sufficiently,6,"[8, 237, 466, 695, 924, 1153]"
breathless,6,"[9, 238, 467, 696, 925, 1154]"
but,24,"[10, 124, 153, 214, 239, 353, 382, 443, 468, 582, 611, 672, 697, 811, 840, 901, 926, 1040, 1069, 1130, 1155, 1269, 1298, 1359]"
except,6,"[11, 240, 469, 698, 927, 1156]"
obvious,6,"[13, 242, 471, 700, 929, 1158]"
remark,6,"[14, 243, 472, 701, 930, 1159]"
that,54,"[15, 43, 68, 139, 147, 160, 191, 199, 215, 244, 272, 297, 368, 376, 389, 420, 428, 444, 473, 501, 526, 597, 605, 618, 649, 657, 673, 702, 730, 755, 826, 834, 847, 878, 886, 902, 931, 959, 984, 1055, 1063, 1076, 1107, 1115, 1131, 1160, 1188, 1213, 1284, 1292, 1305, 1336, 1344, 1360]"
it,24,"[16, 44, 110, 143, 245, 273, 339, 372, 474, 502, 568, 601, 703, 731, 797, 830, 932, 960, 1026, 1059, 1161, 1189, 1255, 1288]"
be,42,"[17, 32, 45, 67, 144, 182, 225, 246, 261, 274, 296, 373, 411, 454, 475, 490, 503, 525, 602, 640, 683, 704, 719, 732, 754, 831, 869, 912, 933, 948, 961, 983, 1060, 1098, 1141, 1162, 1177, 1190, 1212, 1289, 1327, 1370]"
gruesome,6,"[18, 247, 476, 705, 934, 1163]"
as,12,"[19, 78, 248, 307, 477, 536, 706, 765, 935, 994, 1164, 1223]"
on,12,"[20, 59, 249, 288, 478, 517, 707, 746, 936, 975, 1165, 1204]"
Christmas,6,"[21, 250, 479, 708, 937, 1166]"
Eve,6,"[22, 251, 480, 709, 938, 1167]"
in,54,"[23, 52, 72, 96, 106, 133, 155, 208, 226, 252, 281, 301, 325, 335, 362, 384, 437, 455, 481, 510, 530, 554, 564, 591, 613, 666, 684, 710, 739, 759, 783, 793, 820, 842, 895, 913, 939, 968, 988, 1012, 1022, 1049, 1071, 1124, 1142, 1168, 1197, 1217, 1241, 1251, 1278, 1300, 1353, 1371]"
an,24,"[24, 70, 75, 85, 253, 299, 304, 314, 482, 528, 533, 543, 711, 757, 762, 772, 940, 986, 991, 1001, 1169, 1215, 1220, 1230]"
old,12,"[25, 76, 254, 305, 483, 534, 712, 763, 941, 992, 1170, 1221]"
house,12,"[26, 77, 255, 306, 484, 535, 713, 764, 942, 993, 1171, 1222]"
a,48,"[27, 55, 60, 88, 92, 158, 173, 189, 256, 284, 289, 317, 321, 387, 402, 418, 485, 513, 518, 546, 550, 616, 631, 647, 714, 742, 747, 775, 779, 845, 860, 876, 943, 971, 976, 1004, 1008, 1074, 1089, 1105, 1172, 1200, 1205, 1233, 1237, 1303, 1318, 1334]"
strange,6,"[28, 257, 486, 715, 944, 1173]"
tale,6,"[29, 258, 487, 716, 945, 1174]"
should,12,"[30, 201, 259, 430, 488, 659, 717, 888, 946, 1117, 1175, 1346]"
essentially,6,"[31, 260, 489, 718, 947, 1176]"
I,30,"[33, 64, 167, 179, 186, 262, 293, 396, 408, 415, 491, 522, 625, 637, 644, 720, 751, 854, 866, 873, 949, 980, 1083, 1095, 1102, 1178, 1209, 1312, 1324, 1331]"
remember,6,"[34, 263, 492, 721, 950, 1179]"
no,6,"[35, 264, 493, 722, 951, 1180]"
comment,6,"[36, 265, 494, 723, 952, 1181]"
utter,6,"[37, 266, 495, 724, 953, 1182]"
till,12,"[38, 210, 267, 439, 496, 668, 725, 897, 954, 1126, 1183, 1355]"
somebody,6,"[39, 268, 497, 726, 955, 1184]"
happen,6,"[40, 269, 498, 727, 956, 1185]"
to,48,"[41, 91, 114, 121, 125, 165, 196, 204, 270, 320, 343, 350, 354, 394, 425, 433, 499, 549, 572, 579, 583, 623, 654, 662, 728, 778, 801, 808, 812, 852, 883, 891, 957, 1007, 1030, 1037, 1041, 1081, 1112, 1120, 1186, 1236, 1259, 1266, 1270, 1310, 1341, 1349]"
say,6,"[42, 271, 500, 729, 958, 1187]"
only,12,"[47, 202, 276, 431, 505, 660, 734, 889, 963, 1118, 1192, 1347]"
case,12,"[48, 63, 277, 292, 506, 521, 735, 750, 964, 979, 1193, 1208]"
he,36,"[49, 120, 142, 181, 192, 221, 278, 349, 371, 410, 421, 450, 507, 578, 600, 639, 650, 679, 736, 807, 829, 868, 879, 908, 965, 1036, 1058, 1097, 1108, 1137, 1194, 1265, 1287, 1326, 1337, 1366]"
meet,6,"[51, 280, 509, 738, 967, 1196]"
which,18,"[53, 166, 178, 282, 395, 407, 511, 624, 636, 740, 853, 865, 969, 1082, 1094, 1198, 1311, 1323]"
such,12,"[54, 74, 283, 303, 512, 532, 741, 761, 970, 990, 1199, 1219]"
visitation,6,"[56, 285, 514, 743, 972, 1201]"
fall,6,"[58, 287, 516, 745, 974, 1203]"
child,6,"[61, 290, 519, 748, 977, 1206]"
may,6,"[65, 294, 523, 752, 981, 1210]"
mention,6,"[66, 295, 524, 753, 982, 1211]"
of,18,"[69, 87, 109, 298, 316, 338, 527, 545, 567, 756, 774, 796, 985, 1003, 1025, 1214, 1232, 1254]"
apparition,6,"[71, 300, 529, 758, 987, 1216]"
just,6,"[73, 302, 531, 760, 989, 1218]"
gather,6,"[80, 309, 538, 767, 996, 1225]"
for,12,"[82, 188, 311, 417, 540, 646, 769, 875, 998, 1104, 1227, 1333]"
occasion,6,"[84, 313, 542, 771, 1000, 1229]"
appearance,6,"[86, 315, 544, 773, 1002, 1231]"
dreadful,6,"[89, 318, 547, 776, 1005, 1234]"
kind,6,"[90, 319, 548, 777, 1006, 1235]"
little,6,"[93, 322, 551, 780, 1009, 1238]"
boy,6,"[94, 323, 552, 781, 1010, 1239]"
sleep,12,"[95, 122, 324, 351, 553, 580, 782, 809, 1011, 1038, 1240, 1267]"
room,6,"[98, 327, 556, 785, 1014, 1243]"
with,6,"[99, 328, 557, 786, 1015, 1244]"
his,18,"[100, 116, 227, 329, 345, 456, 558, 574, 685, 787, 803, 914, 1016, 1032, 1143, 1245, 1261, 1372]"
mother,6,"[101, 330, 559, 788, 1017, 1246]"
and,18,"[102, 118, 198, 331, 347, 427, 560, 576, 656, 789, 805, 885, 1018, 1034, 1114, 1247, 1263, 1343]"
wake,12,"[103, 111, 332, 340, 561, 569, 790, 798, 1019, 1027, 1248, 1256]"
she,18,"[104, 112, 130, 333, 341, 359, 562, 570, 588, 791, 799, 817, 1020, 1028, 1046, 1249, 1257, 1275]"
up,6,"[105, 334, 563, 792, 1021, 1250]"
terror,6,"[108, 337, 566, 795, 1024, 1253]"
not,24,"[113, 151, 175, 183, 342, 380, 404, 412, 571, 609, 633, 641, 800, 838, 862, 870, 1029, 1067, 1091, 1099, 1258, 1296, 1320, 1328]"
dissipate,6,"[115, 344, 573, 802, 1031, 1260]"
dread,6,"[117, 346, 575, 804, 1033, 1262]"
soothe,6,"[119, 348, 577, 806, 1035, 1264]"
again,6,"[123, 352, 581, 810, 1039, 1268]"
encounter,6,"[126, 355, 584, 813, 1042, 1271]"
also,6,"[127, 356, 585, 814, 1043, 1272]"
herself,6,"[128, 357, 586, 815, 1044, 1273]"
before,12,"[129, 218, 358, 447, 587, 676, 816, 905, 1045, 1134, 1274, 1363]"
succeed,6,"[132, 361, 590, 819, 1048, 1277]"
do,6,"[134, 363, 592, 821, 1050, 1279]"
so,6,"[135, 364, 593, 822, 1051, 1280]"
same,12,"[137, 216, 366, 445, 595, 674, 824, 903, 1053, 1132, 1282, 1361]"
sight,6,"[138, 367, 596, 825, 1054, 1283]"
shake,6,"[141, 370, 599, 828, 1057, 1286]"
this,12,"[145, 185, 374, 414, 603, 643, 832, 872, 1061, 1101, 1290, 1330]"
observation,6,"[146, 375, 604, 833, 1062, 1291]"
draw,6,"[148, 377, 606, 835, 1064, 1293]"
from,6,"[149, 378, 607, 836, 1065, 1294]"
Douglas,6,"[150, 379, 608, 837, 1066, 1295]"
immediately,6,"[152, 381, 610, 839, 1068, 1297]"
